slug,name,manufacturer,category,height_cm,weight_kg,latest_price_amount,latest_price_currency,delivery_status,announced_date,autonomous_demos,locomotion,battery_wh,sdk_open_source,ros,order_type,warranty_min_months,manufacturer_country,first_delivery_date,source_url,latest_price_usd,latest_price_date,updated
"neura-robotics-4ne-1","4NE-1","NEURA Robotics","full-size","180","80","98000","EUR","claimed","2026-01-06","0","","","","","preorder","","DE","","","105840","2026-09-20","2026-09-21"
"agibot-a2","A2","AgiBot (Zhiyuan Robotics)","full-size","169","69","","","claimed","2024-08-18","0","bipedal","700","true","ros2","quote","","CN","","","","","2026-09-21"
"pndbotics-adam","Adam SP","PNDbotics","full-size","167","62","100000","USD","demonstrated","2025-07-25","0","","","","","","","CN","","","100000","2025-07-25","2026-09-21"
"hexagon-aeon","AEON","Hexagon AB (Hexagon Robotics)","industrial","165","60","","","claimed","2025-06-17","0","hybrid","","","","quote","","SE","","","","","2026-09-21"
"clone-alpha","Alpha","Clone Robotics","research","","","","","claimed","2024-12-06","0","bipedal","","","","preorder","","US","","","","","2026-09-21"
"apptronik-apollo","Apollo","Apptronik","full-size","172","72.5","","","shipped","2023-08-23","0","","","","","","","US","2025-03-18","https://media.mbusa.com/releases/release-cf381cd2fcff624ae37d3911631103dc-mercedes-benz-accelerates-the-transformation-of-its-production-network-by-integrating-ai-and-humanoid-robots-at-its-digital-factory-campus-in-berlin","","","2026-09-21"
"boston-dynamics-atlas-electric","Atlas (Electric)","Boston Dynamics","full-size","190","90","","","shipped","2024-04-17","2","","","","","quote","","US","2026-01-04","https://www.therobotreport.com/boston-dynamics-shows-atlas-humanoid-working-georgia-hyundai-plant/","","","2026-09-21"
"agility-digit-gen4","Digit (2020 generation)","Agility Robotics","full-size","","","","","shipped","2019-10-15","0","bipedal","","","","","","US","2020-01-06","https://en.wikipedia.org/wiki/Agility_Robotics","","","2026-09-21"
"agility-digit","Digit 5","Agility Robotics","full-size","181","129","","","claimed","2026-09-15","0","","","","","","","US","","","","","2026-09-21"
"robonova-eva","Eva.i","Robonova.i (Shenzhen Yizhizai Intelligent Technology Co., Ltd.)","compact","160","40","","","claimed","2026-02-26","0","","","","","preorder","","CN","","","","","2026-09-21"
"figure-03","Figure 03","Figure AI","full-size","","","","","shipped","2026-06-25","0","","2300","","","","","US","2026-06-25","https://www.press.bmwgroup.com/global/photo/compilation/T0458778EN/bmw-group-advances-the-use-of-physical-ai-in-production-with-figure-03-project-in-spartanburg","","","2026-09-21"
"kepler-k2","Forerunner K2","Shanghai Kepler Robotics Co., Ltd.","full-size","175","75","248000","CNY","demonstrated","2024-10-21","0","bipedal","","","","preorder","","CN","","","34720","2025-08-01","2026-09-21"
"galbot-g1","G1","Galbot (Beijing Galbot AI / Galaxy General Robot)","industrial","173","92.5","","","claimed","2025-03-01","1","wheeled","1440","","","cart","","CN","","","","","2026-09-21"
"unitree-g1","G1","Unitree Robotics","full-size","132","35","13500","USD","shipped","2024-05-13","0","","","true","ros2","cart","8","CN","2026-04-01","https://www.durham.ac.uk/news-events/latest-news/2026/04/durhams-new-humanoid-robot-to-support-cutting-edge-research/","13500","2026-09-20","2026-09-21"
"fourier-gr-2","GR-2","Fourier","full-size","175","63","","","claimed","2024-09-30","0","","","","","","","CN","","","","","2026-09-21"
"unitree-h1","H1","Unitree Robotics","full-size","180","47","90000","USD","demonstrated","2023-08-15","0","bipedal","864","true","ros2","quote","","CN","","","90000","2023-08-15","2026-09-21"
"unitree-h2","H2","Unitree Robotics","full-size","180","70","29900","USD","claimed","2025-10-20","0","","","true","ros2","cart","","CN","","","29900","2026-09-20","2026-09-21"
"xpeng-iron","Iron","XPeng","full-size","178","70","","","demonstrated","2024-11-06","0","","","","","","","CN","","","","","2026-09-22"
"mentee-menteebot","MenteeBot V3","Mentee Robotics","full-size","175","70","","","demonstrated","2025-02-17","0","","","","","none","","IL","","","","","2026-09-21"
"1x-neo","Neo","1X Technologies","full-size","","30","499","USD","claimed","2024-08-01","0","bipedal","842","","","preorder","36","NO","","","499","2025-10-30","2026-09-21"
"limx-dynamics-oli","Oli","LimX Dynamics","full-size","165","","","","demonstrated","2025-07-30","2","","","","","","12","CN","","","","","2026-09-21"
"tesla-optimus","Optimus","Tesla, Inc.","full-size","173","57","30000","USD","demonstrated","2021-08-19","0","","","","","none","","US","","","30000","2026-04-22","2026-09-21"
"persona-ai-gen1","Persona Gen 1","Persona AI, Inc.","industrial","","","","","demonstrated","2025-05-17","0","","","","","quote","","US","","","","","2026-09-21"
"sanctuary-ai-phoenix","Phoenix","Sanctuary AI","full-size","170","57.9","","","demonstrated","2023-05-16","0","bipedal","","","","quote","","CA","","","","","2026-09-21"
"engineai-pm01","PM01","EngineAI Robotics","full-size","138","40","12000","USD","demonstrated","2024-12-27","0","bipedal","","","","cart","","CN","","","12000","2024-12-27","2026-09-21"
"unitree-r1","R1","Unitree Robotics","compact","123","25","4900","USD","claimed","2025-07-29","0","bipedal","199","true","ros2","cart","","CN","","","4900","2026-09-20","2026-09-21"
"booster-t1","T1","Booster Robotics","research","118","30","26000","EUR","demonstrated","2024-12-18","1","","","true","ros2","quote","12","CN","","","28080","2026-09-20","2026-09-21"
"x-humanoid-tiangong-ultra","Tiangong Ultra","X-Humanoid (Beijing Humanoid Robot Innovation Center)","full-size","180","52","","","demonstrated","2025-04-19","0","","","","","","","CN","","","","","2026-09-21"
"ubtech-walker-s2","Walker S2","UBTech Robotics","industrial","176","","","","claimed","2025-07-23","0","","","","","quote","","CN","","","","","2026-09-21"
